City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
658,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
662,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
667,Awjilah,LY,77.2,clear sky,29.1081,21.2869,المنزل
673,Guilin,CN,77.11,few clouds,25.2819,110.2864,Grand 0773 Hotel
674,Palmer,US,84.42,scattered clouds,42.1584,-72.3287,Wedgewood Motel
675,Syracuse,IT,78.39,clear sky,37.0881,15.2792,Hotel Posta
676,Potamia,GR,75.51,clear sky,40.7163,24.7286,Blue Sea Beach Hotel
677,Manggar,ID,81.07,moderate rain,-2.8833,108.2667,Guest Hotel
678,Daokou,CN,80.74,overcast clouds,35.5639,114.5058,Shangri-La Hotel
679,Oum Hadjer,TD,76.91,light rain,13.2954,19.6966,
