City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Kawalu,ID,-7.3817,108.2082,71.64,97,100,2.46,overcast clouds
169,Quatre Cocos,MU,-20.2078,57.7625,70.09,70,78,16.31,broken clouds
170,Jamestown,US,42.097,-79.2353,80.94,63,40,10.36,scattered clouds
171,Shingu,JP,33.7333,135.9833,84.97,72,10,3.96,clear sky
172,Bosaso,SO,11.2842,49.1816,88.27,37,43,23.69,scattered clouds
173,Mbandaka,CD,0.0487,18.2603,71.47,88,82,1.52,broken clouds
174,Hamada,JP,34.8833,132.0833,77.72,92,83,12.39,broken clouds
175,Taoudenni,ML,22.6783,-3.9836,89.78,42,42,11.25,scattered clouds
176,Ayan,RU,56.45,138.1667,58.62,89,98,5.17,overcast clouds
177,Douglas,US,41.3,-96.167,92.52,38,0,8.05,clear sky
178,Iskateley,RU,67.6803,53.1512,42.55,88,84,6.71,broken clouds
179,Torbay,CA,47.6666,-52.7314,66.76,79,75,4.61,broken clouds
180,Kaolinovo,BG,43.6167,27.1167,64.06,69,0,4.41,clear sky
181,Rundu,NA,-17.9333,19.7667,59.68,49,90,6.96,overcast clouds
182,Fortuna,US,40.5982,-124.1573,68.94,72,41,4.0,scattered clouds
183,Hibbing,US,47.4272,-92.9377,78.22,38,0,9.22,clear sky
184,Rosarito,MX,32.3333,-117.0333,82.63,63,11,11.05,few clouds
185,Savannakhet,LA,16.566,104.751,74.46,93,98,4.79,overcast clouds
186,Souillac,MU,-20.5167,57.5167,68.38,77,40,11.5,scattered clouds
187,Dongli,CN,23.5656,116.8194,84.18,84,0,0.0,clear sky
188,Tsiroanomandidy,MG,-18.7667,46.0333,51.8,75,0,2.48,clear sky
189,Mitchell,US,43.7094,-98.0298,90.1,32,0,6.91,clear sky
190,Vostok,RU,46.4856,135.8833,61.63,97,98,1.48,overcast clouds
191,Aksarka,RU,66.5606,67.7975,45.3,77,74,5.82,broken clouds
192,Cabo San Lucas,MX,22.8909,-109.9124,97.9,40,0,10.36,clear sky
193,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,overcast clouds
194,Adrar,MR,20.5022,-10.0711,92.19,33,80,4.61,broken clouds
195,Boulder,US,40.0833,-105.3505,90.0,23,0,11.01,clear sky
196,Sept-Iles,CA,50.2001,-66.3821,63.03,87,100,16.11,overcast clouds
197,Basco,PH,20.4487,121.9702,85.64,77,19,11.21,few clouds
198,Rawson,AR,-43.3002,-65.1023,44.06,47,100,11.32,overcast clouds
199,Anloga,GH,5.7947,0.8973,74.98,80,10,11.74,clear sky
200,Uvat,RU,59.1433,68.8953,49.62,75,37,4.94,scattered clouds
201,Chuy,UY,-33.6971,-53.4616,51.89,88,93,6.93,overcast clouds
202,Churapcha,RU,62.0025,132.4325,78.58,52,2,6.69,clear sky
203,Miyako,JP,39.6367,141.9525,70.77,93,92,1.9,light rain
204,Selizharovo,RU,56.8519,33.4487,52.63,97,3,4.88,clear sky
205,Namibe,AO,-15.1961,12.1522,62.69,86,15,4.7,few clouds
206,Aklavik,CA,68.2191,-135.0107,68.0,64,40,8.05,scattered clouds
207,Hithadhoo,MV,-0.6,73.0833,79.34,77,100,7.61,heavy intensity rain
